,Frame,Time_Elapsed,Hand,Feature,x,y,z
0,103.0,5.239381313323975,0.0,0.0,0.6559886932373047,0.699780285358429,4.44486977357883e-06
1,103.0,5.239381313323975,0.0,1.0,0.6012691259384155,0.7349150776863098,-0.062439925968647
2,103.0,5.239381313323975,0.0,2.0,0.5497228503227234,0.7127022743225098,-0.11035140603780746
3,103.0,5.239381313323975,0.0,3.0,0.5163639783859253,0.6895132064819336,-0.15037037432193756
4,103.0,5.239381313323975,0.0,4.0,0.49229955673217773,0.682162880897522,-0.18898968398571014
5,103.0,5.239381313323975,0.0,5.0,0.5164245963096619,0.5994850993156433,-0.11220890283584595
6,103.0,5.239381313323975,0.0,6.0,0.46088629961013794,0.5321056842803955,-0.17822937667369843
7,103.0,5.239381313323975,0.0,7.0,0.43347325921058655,0.5009947419166565,-0.22426481544971466
8,103.0,5.239381313323975,0.0,8.0,0.4057357907295227,0.46771669387817383,-0.25593963265419006
9,103.0,5.239381313323975,0.0,9.0,0.5493997931480408,0.5507594347000122,-0.11590971797704697
10,103.0,5.239381313323975,0.0,10.0,0.4992406368255615,0.4662655293941498,-0.17271940410137177
11,103.0,5.239381313323975,0.0,11.0,0.47411248087882996,0.42748287320137024,-0.21835355460643768
12,103.0,5.239381313323975,0.0,12.0,0.4496382772922516,0.38783425092697144,-0.2558336555957794
13,103.0,5.239381313323975,0.0,13.0,0.5937057137489319,0.5235027074813843,-0.12386984378099442
14,103.0,5.239381313323975,0.0,14.0,0.5538046956062317,0.4359884262084961,-0.17496156692504883
15,103.0,5.239381313323975,0.0,15.0,0.5374122858047485,0.3947431147098541,-0.22554469108581543
16,103.0,5.239381313323975,0.0,16.0,0.5171487927436829,0.34840553998947144,-0.26838675141334534
17,103.0,5.239381313323975,0.0,17.0,0.6504002809524536,0.5148373246192932,-0.13880163431167603
18,103.0,5.239381313323975,0.0,18.0,0.6396462321281433,0.43522411584854126,-0.17352837324142456
19,103.0,5.239381313323975,0.0,19.0,0.6298173666000366,0.39150795340538025,-0.20643913745880127
20,103.0,5.239381313323975,0.0,20.0,0.6125367283821106,0.3434387743473053,-0.2409534603357315
0,104.0,5.3421056270599365,1.0,0.0,0.6554142236709595,0.7079489231109619,4.3870426452485844e-05
1,104.0,5.3421056270599365,1.0,1.0,0.5915526747703552,0.7343350052833557,-0.07601308822631836
2,104.0,5.3421056270599365,1.0,2.0,0.5370915532112122,0.6895067691802979,-0.12349365651607513
3,104.0,5.3421056270599365,1.0,3.0,0.5131606459617615,0.6373446583747864,-0.1621052324771881
4,104.0,5.3421056270599365,1.0,4.0,0.5019856691360474,0.6154533624649048,-0.20143663883209229
5,104.0,5.3421056270599365,1.0,5.0,0.5001922845840454,0.6259005069732666,-0.10874233394861221
6,104.0,5.3421056270599365,1.0,6.0,0.42712831497192383,0.573296844959259,-0.17103692889213562
7,104.0,5.3421056270599365,1.0,7.0,0.3810686469078064,0.5369840860366821,-0.21357141435146332
8,104.0,5.3421056270599365,1.0,8.0,0.3386116623878479,0.5075821876525879,-0.2398243397474289
9,104.0,5.3421056270599365,1.0,9.0,0.5334312319755554,0.57143235206604,-0.10024520754814148
10,104.0,5.3421056270599365,1.0,10.0,0.4698003828525543,0.5025737881660461,-0.15172800421714783
11,104.0,5.3421056270599365,1.0,11.0,0.42658793926239014,0.4424319565296173,-0.18921349942684174
12,104.0,5.3421056270599365,1.0,12.0,0.38487929105758667,0.3913603127002716,-0.22009119391441345
13,104.0,5.3421056270599365,1.0,13.0,0.580633819103241,0.5366286039352417,-0.10010381042957306
14,104.0,5.3421056270599365,1.0,14.0,0.5340858697891235,0.4477018415927887,-0.143769308924675
15,104.0,5.3421056270599365,1.0,15.0,0.5073607563972473,0.3871442675590515,-0.17867174744606018
16,104.0,5.3421056270599365,1.0,16.0,0.4784477949142456,0.3343374729156494,-0.21113616228103638
17,104.0,5.3421056270599365,1.0,17.0,0.6360331177711487,0.5193650722503662,-0.1054721251130104
18,104.0,5.3421056270599365,1.0,18.0,0.6109302043914795,0.43774014711380005,-0.13870267570018768
19,104.0,5.3421056270599365,1.0,19.0,0.5930793881416321,0.3900166153907776,-0.16323040425777435
20,104.0,5.3421056270599365,1.0,20.0,0.5698436498641968,0.3442620635032654,-0.19222217798233032
0,105.0,5.3829967975616455,1.0,0.0,0.6560255289077759,0.720529317855835,0.00014872288738843054
1,105.0,5.3829967975616455,1.0,1.0,0.7058115601539612,0.6467139720916748,-0.12070398777723312
2,105.0,5.3829967975616455,1.0,2.0,0.6858769059181213,0.5829364061355591,-0.17884749174118042
3,105.0,5.3829967975616455,1.0,3.0,0.6373032331466675,0.5580247044563293,-0.21457161009311676
4,105.0,5.3829967975616455,1.0,4.0,0.5908553004264832,0.5396870970726013,-0.2455722540616989
5,105.0,5.3829967975616455,1.0,5.0,0.6112306118011475,0.5119642019271851,-0.13394597172737122
6,105.0,5.3829967975616455,1.0,6.0,0.5815007090568542,0.4482136368751526,-0.192615807056427
7,105.0,5.3829967975616455,1.0,7.0,0.5579461455345154,0.4159046411514282,-0.23549291491508484
8,105.0,5.3829967975616455,1.0,8.0,0.5379722118377686,0.3961869478225708,-0.2656936049461365
9,105.0,5.3829967975616455,1.0,9.0,0.555229663848877,0.5314528346061707,-0.09577818959951401
10,105.0,5.3829967975616455,1.0,10.0,0.5028483271598816,0.4599696397781372,-0.14171285927295685
11,105.0,5.3829967975616455,1.0,11.0,0.4579339027404785,0.4169021248817444,-0.17351412773132324
